# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1622303590, 761983, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303595, 764693, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303600, 767352, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303605, 770033, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303610, 772704, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303615, 775517, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303620, 778197, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303625, 780893, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303630, 783598, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303636, 786439, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303641, 789093, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303646, 791961, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303651, 794713, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303656, 797397, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303662, 800121, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303667, 802838, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303672, 805458, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303677, 808176, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303682, 811012, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303687, 813705, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303692, 816381, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303698, 819165, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303703, 821897, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303708, 824605, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303713, 827285, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303718, 830088, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303723, 832924, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303728, 835542, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303734, 838382, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303739, 841061, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303744, 843782, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303749, 846564, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303754, 849253, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303759, 851920, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303764, 854573, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303769, 857232, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303774, 860003, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303779, 862535, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
